name,ring,quadrant,isNew,status,description
Continuous compliance,Adopt,Techniques,FALSE,no change,"<p><strong>El cumplimiento continuo</strong> es la práctica de garantizar que los procesos y las tecnologías de desarrollo de software cumplan con las normas de seguridad y las regulaciones de la industria de manera continua, mediante el uso intensivo de la automatización. La verificación manual de vulnerabilidades de seguridad y el cumplimiento de las regulaciones pueden ralentizar el desarrollo y generar errores. Como alternativa, las organizaciones pueden automatizar las comprobaciones y auditorías de cumplimiento. Pueden integrar herramientas en los procesos de desarrollo de software, lo que permite a los equipos detectar y abordar problemas de cumplimiento en las primeras etapas del proceso de desarrollo. La codificación de las reglas de cumplimiento y las mejores prácticas ayuda a aplicar políticas y estándares de manera uniforme en todos los equipos. Le permite escanear los cambios de código en busca de vulnerabilidades, aplicar estándares de codificación y realizar un seguimiento de los cambios de configuración de la infraestructura para garantizar que cumplan con los requisitos de cumplimiento. Por último, la generación automática de informes de lo anterior simplifica las auditorías y proporciona evidencia clara de cumplimiento. Ya hemos hablado de técnicas como la publicación de SBOM y la aplicación de las recomendaciones de SLSA, pueden ser muy buenos puntos de partida. Los beneficios de esta técnica son múltiples. En primer lugar, la automatización conduce a un software más seguro al identificar y mitigar las vulnerabilidades de forma temprana y, en segundo lugar, los ciclos de desarrollo se aceleran a medida que se eliminan las tareas manuales. La reducción de costos y la mejora de la consistencia son ventajas adicionales. Para las industrias críticas para la seguridad, como los vehículos impulsados ??por software, el cumplimiento continuo automatizado puede mejorar la eficiencia y la confiabilidad del proceso de certificación, lo que en última instancia conduce a vehículos más seguros y confiables en la carretera.</p>"
Jira,Adopt,Tools,FALSE,no change,
SonarQube,Adopt,Tools,FALSE,no change,
Swagger/OpenAPI,Adopt,Tools,FALSE,no change,
Docker,Adopt,Platforms,FALSE,no change,
Kubernetes,Adopt,Platforms,FALSE,no change,
Redis,Adopt,Platforms,FALSE,no change,
PostgreSQL,Adopt,Platforms,FALSE,no change,
MongoDB Atlas Database,Adopt,Platforms,FALSE,no change,
Cloud Native,Adopt,Techniques,FALSE,no change,
DevOps,Adopt,Techniques,FALSE,no change,
Scrum,Adopt,Techniques,FALSE,no change,
Microservices,Adopt,Techniques,FALSE,no change,
Figma,Adopt,Tools,FALSE,no change,<p>Figma es un editor de gráficos vectorial y una herramienta de generación de prototipos, principalmente basada en la web, con características off-line adicionales habilitadas por aplicaciones de escritorio en macOS y Windows. Las aplicaciones Figma Mirror companion para Android y iOS permiten mirar los prototipos de Figma en dispositivos móviles.? El conjunto de funciones de Figma, se enfoca en el uso de la interfaz de usuario y el diseño de experiencia de usuario, con énfasis en la colaboración en tiempo real.</p>
Apigee,Adopt,Platforms,FALSE,no change,
Cloudflare,Adopt,Platforms,FALSE,no change,
Elasticsearch,Adopt,Platforms,FALSE,no change,
Confluent,Adopt,Platforms,FALSE,no change,
Bitbucket,Adopt,Tools,FALSE,no change,
Acoustic,Adopt,Platforms,FALSE,no change,
gRPC,Assess,Languages&Frameworks,FALSE,no change,
REST,Adopt,Languages&Frameworks,FALSE,no change,
Argo,Adopt,Tools,FALSE,no change,
AsyncAPI,Assess,Tools,TRUE,new,
Google Cloud,Adopt,Platforms,FALSE,no change,
Amazon Web Services,Adopt,Platforms,FALSE,no change,
Oracle,Hold,Platforms,FALSE,moved out,
Kotlin,Hold,Languages&Frameworks,FALSE,moved out,
Flutter,Hold,Languages&Frameworks,FALSE,moved out,
Swift,Hold,Languages&Frameworks,FALSE,moved out,
Confluence,Adopt,Tools,FALSE,no change,
Microfrontends,Trial,Techniques,TRUE,moved in,
AWS Step Functions,Assess,Platforms,FALSE,no change,
Cloud Functions,Assess,Platforms,FALSE,no change,
AWS Lambda,Assess,Platforms,FALSE,no change,
Draw.io,Adopt,Tools,FALSE,no change,
Miro,Adopt,Tools,FALSE,no change,
Locust,Adopt,Tools,FALSE,no change,
Selenium,Adopt,Tools,FALSE,no change,
Appium,Adopt,Tools,FALSE,no change,
Maze,Adopt,Tools,FALSE,no change,
Looker,Adopt,Tools,FALSE,no change,
AWS Database Migration Service,Trial,Platforms,FALSE,no change,
DataLake,Adopt,Platforms,FALSE,no change,
Trivy,Adopt,Tools,FALSE,no change,
Keycloak,Trial,Platforms,TRUE,moved in,
